date,panipat pm 2.5,sirsa pm 2.5,Bhiwanipm 2.5,rohtak pm 2.5,patiala pm 2.5,ludhiana pm 2.5,kaithal pm 2.5,karnal pm 2.5,hisarpm25,jindpm25,delhi_wazirpm2.5
2019-10-01,108,112,104,67,108,79,99,130,126,112,120
2019-10-02,128,155,115,106,80,120,87,133,141,122,113
2019-10-03,158,149,150,118,119,105,109,167,138,145,154
2019-10-04,119,82,110,84,59,64,64,167,93,98,133
2019-10-05,145,138,122,81,66,84,62,135,104,102,119
2019-10-06,156,155,111,88,121,83,157,140,151,146,146
2019-10-07,156,120,134,93,113,85,162,142,134,137,143
2019-10-08,117,124,113,96,79,87,84,145,116,114,122
2019-10-09,151,159,146,123,103,117,119,165,141,147,160
2019-10-10,183,165,158,155,121,109,118,180,157,158,190
2019-10-11,182,175,165,152,107,130,114,176,167,155,172
2019-10-12,210,171,160,154,148,148,146,189,182,171,188
2019-10-13,207,200,142,165,145,149,154,196,185,179,217
2019-10-14,193,186,141,167,148,149,149,202,182,173,201
2019-10-15,221,189,139,164,151,164,155,226,180,180,200
2019-10-16,206,238,140,183,157,172,171,195,189,202,219
2019-10-17,177,265,166,177,145,167,143,176,204,184,204
2019-10-18,176,215,137,154,132,137,112,176,175,168,162
2019-10-19,174,170,97,84,142,117,100,202,167,166,161
2019-10-20,184,169,125,144,127,130,72,186,161,167,145
2019-10-21,158,190,136,159,141,155,77,179,169,172,207
2019-10-22,179,203,151,160,146,159,98,182,169,165,184
2019-10-23,188,217,135,175,158,162,147,183,172,190,207
2019-10-24,226,219,143,196,163,167,165,199,203,208,290
2019-10-25,190,226,178,203,167,169,160,172,229,194,208
2019-10-26,202,260,206,199,185,175,165,183,230,205,247
2019-10-27,244,269,217,200,215,202,178,216,297,253,326
2019-10-28,280,341,266,248,245,275,168,196,293,261,398
2019-10-29,338,286,278,227,179,182,195,215,252,311,400
2019-10-30,388,229,232,211,193,183,163,288,235,289,390
2019-10-31,353,263,292,299,187,189,230,283,245,379,424
2019-11-01,297,474,373,358,181,195,223,305,447,418,495
2019-11-02,338,650,415,352,217,194,186,307,704,511,384
2019-11-03,587,437,304,462,273,236,272,510,344,607,828
2019-11-04,391,353,260,292,189,161,258,300,338,419,400
2019-11-05,281,254,171,186,171,162,223,237,194,264,298
2019-11-06,257,198,162,139,249,205,201,336,168,171,197
2019-11-07,204,92,170,177,92,109,114,168,149,172,257
2019-11-08,167,95,169,166,130,86,108,139,166,172,233
2019-11-09,211,94,172,165,156,115,140,158,161,187,229
2019-11-10,301,155,169,174,219,160,188,243,174,210,246
2019-11-11,397,180,212,214,204,180,220,261,265,320,342
2019-11-12,375,272,363,343,223,187,217,255,531,390,509
2019-11-13,307,256,388,315,189,181,202,221,441,361,436
2019-11-14,263,309,290,268,183,183,181,209,332,306,446
2019-11-15,274,154,243,383,186,165,204,202,249,356,420
2019-11-16,172,85,201,221,123,133,140,168,199,236,265
2019-11-17,135,94,150,152,93,102,94,123,156,169,178
2019-11-18,170,125,138,159,115,130,114,148,153,192,209
2019-11-19,225,169,154,160,158,166,138,182,161,195,223
2019-11-20,246,206,182,190,158,167,169,184,257,214,296
2019-11-21,230,171,218,216,159,171,166,183,251,240,281
2019-11-22,193,165,221,209,146,155,162,182,233,239,281
2019-11-23,168,144,173,165,113,116,118,159,180,175,211
2019-11-24,149,145,191,165,120,122,121,147,205,170,172
2019-11-25,164,136,171,161,101,133,125,161,195,171,203
2019-11-26,151,134,163,163,97,137,110,145,177,145,204
2019-11-27,118,73,104,83,59,98,75,111,140,111,150
2019-11-28,92,84,86,72,74,98,63,84,116,96,116
2019-11-29,140,105,129,105,86,83,75,137,129,114,141
2019-11-30,152,128,150,155,101,83,97,161,169,158,194
2019-12-01,163,166,159,165,121,127,125,163,173,176,215
2019-12-02,178,161,164,173,150,134,148,173,184,166,249
2019-12-03,174,148,161,183,156,148,150,169,190,192,248
2019-12-04,201,172,162,188,171,186,168,208,183,189,272
2019-12-05,282,173,227,202,181,189,177,252,229,227,412
2019-12-06,202,174,250,219,170,143,166,179,226,229,334
