date,patiala pm 2.5
2019/3/17,121
2019/3/18,134
2019/3/19,142
2019/3/20,146
2019/3/21,127
2019/3/22,103
2019/3/23,113
2019/3/24,128
2019/3/25,146
2019/3/26,149
2019/3/27,148
2019/3/28,156
2019/3/29,159
2019/3/30,164
2019/3/31,138
2018/11/30,142
2018/12/1,145
2018/12/2,156
2018/12/3,165
2018/12/4,160
2018/12/5,168
2018/12/6,165
2018/12/7,164
2018/12/8,165
2018/12/9,169
2018/12/10,110
2018/12/11,81
2018/12/15,69
2018/12/16,64
2018/12/17,112
2018/12/18,113
2018/12/19,162
2018/12/20,170
2018/12/21,160
2018/12/22,167
2018/12/23,169
2018/12/24,164
2018/12/25,166
2018/12/26,151
2018/12/27,155
2018/12/28,158
2018/12/29,112
2018/12/30,96
2019/12/31, 
2018/12/31, 
2018/11/29, 
2018/12/14, 
