date,rohtak pm 2.5
2019/3/19,150
2019/3/20,145
2019/3/21,85
2019/3/22,98
2019/3/23,129
2019/3/24,128
2019/3/25,144
2019/3/26,122
2019/3/27,146
2019/3/28,131
2019/3/29,91
2019/3/30,159
2019/3/31,127
2018/12/1,134
2018/12/2,131
2018/12/3,169
2018/12/4,181
2018/12/5,99
2018/12/7,168
2018/12/8,144
2018/12/9,150
2018/12/10,180
2018/12/11,183
2018/12/15,124
2018/12/16,143
2018/12/17,148
2018/12/18,155
2018/12/19,170
2018/12/20,149
2018/12/21,159
2018/12/22,173
2018/12/23,186
2018/12/24,180
2018/12/25,168
2018/12/26,164
2018/12/27,167
2018/12/28,152
2018/12/29,157
2018/12/30,172
2018/4/12,149
2018/4/13,127
2018/4/14,131
2018/4/15,144
2018/4/16,224
2018/4/17,205
2018/4/18,170
2018/4/19,201
2018/4/20,231
2018/1/1,232
2018/1/2,242
2018/1/3,229
2018/1/4,227
2018/1/5,270
2018/1/6,238
2018/1/7,213
2018/1/8,190
2018/1/9,232
2018/1/10,220
2018/1/11,201
2018/1/12,194
2018/1/13,210
2018/1/14,221
2018/1/15,208
2018/1/16,151
2018/1/17,219
2018/1/18,243
2018/1/19,206
2018/1/20,202
2018/1/21,161
2018/1/22,169
2018/1/23,172
2018/1/24,145
2018/1/25,161
2018/1/26,154
2018/1/27,175
2018/1/28,170
2018/1/29,172
2018/1/30,174
2018/1/31,177
2018/2/1,179
2018/2/2,169
2018/2/3,155
2018/2/4,125
2018/2/5,162
2018/2/6,145
2018/2/7,131
2018/2/8,146
2018/2/9,149
2018/2/11,137
2018/2/12,115
2018/2/13,128
2018/2/14,91
2018/2/15,95
2018/2/16,129
2018/2/17,151
2018/2/18,185
2018/2/19,194
2018/2/20,199
2018/2/21,209
2018/2/22,182
2018/2/23,191
2018/2/24,229
2018/2/25,166
2018/2/26,151
2018/2/27,159
2018/2/28,186
2018/3/1,167
2018/3/2,168
2018/3/3,147
2018/3/4,150
2018/3/5,151
2018/3/6,146
2018/3/7,156
2018/3/8,163
2018/3/9,164
2018/3/10,153
2018/3/11,172
2018/3/12,151
2018/3/13,176
2018/3/14,219
2018/3/15,214
2018/3/16,168
2018/3/17,155
2018/3/18,160
2018/3/19,167
2018/3/20,173
2018/3/24,158
2018/3/25,165
2018/3/26,165
2018/3/27,174
2018/3/28,218
2017/10/3,420
2017/10/4,120
2017/10/5,161
2017/10/6,160
2017/10/7,158
2017/10/8,149
2017/10/9,152
2017/10/10,165
2017/10/13,158
2017/10/14,161
2017/10/15,158
2017/10/16,162
2017/10/17,166
2017/10/18,173
2017/10/19,176
2017/10/20,278
2017/10/21,211
2017/10/22,164
2017/10/23,170
2017/10/24,201
2017/10/25,182
2017/10/26,206
2017/10/27,199
2017/10/28,190
2017/10/29,182
2017/10/30,194
2017/10/31,218
2017/11/1,220
2017/11/2,179
2017/11/3,208
2017/11/4,200
2017/11/5,214
2017/11/6,214
2017/11/7,247
2017/11/8,343
2017/11/9,356
2017/11/10,347
2017/11/11,364
2017/11/12,406
2017/11/13,365
2017/11/14,261
2017/11/15,266
2017/11/16,208
2017/11/17,187
2017/11/18,227
2017/11/19,248
2017/11/21,184
2017/11/22,220
2017/11/23,199
2017/11/24,189
2017/11/25,188
2017/11/26,225
2017/11/27,217
2017/11/28,207
2017/11/29,206
