date,ludhiana pm 2.5
2019/3/15,91
2019/3/16,103
2019/3/17,100
2019/3/18,101
2019/3/19,113
2019/3/20,143
2019/3/21,75
2019/3/22,81
2019/3/23,99
2019/3/24,94
2019/3/25,129
2019/3/26,132
2019/3/27,144
2019/3/28,98
2019/3/29,129
2019/3/30,134
2019/3/31,103
2018/10/1,73
2018/10/2,73
2018/10/3,74
2018/10/4,82
2018/10/5,94
2018/10/6,129
2018/10/7,152
2018/10/8,152
2018/10/9,146
2018/10/10,161
2018/10/11,129
2018/10/12,131
2018/10/13,124
2018/10/14,149
2018/10/15,140
2018/10/16,157
2018/10/17,156
2018/10/18,169
2018/10/19,146
2018/10/20,149
2018/10/21,143
2018/10/22,161
2018/10/23,150
2018/10/24,158
2018/10/25,159
2018/10/26,165
2018/10/27,150
2018/10/28,164
2018/10/29,142
2018/10/30,150
2018/10/31,135
2018/11/1,154
2018/11/2,119
2018/11/3,58
2018/11/4,143
2018/11/5,133
2018/11/6,141
2018/11/7,158
2018/11/8,161
2018/11/9,129
2018/11/10,129
2018/11/11,129
2018/11/12,129
2018/11/13,130
2018/11/14,133
2018/11/15,112
2018/11/16,85
2018/11/17,123
2018/11/18,141
2018/11/19,132
2018/11/20,116
2018/11/21,107
2018/11/22,125
2018/11/23,114
2018/11/24,84
2018/11/25,147
2018/11/26,125
2018/11/27,120
2018/11/28,126
2018/11/29,109
2018/11/30,105
2018/12/1,97
2018/12/2,119
2018/12/3,99
2018/12/4,107
2018/12/6,119
2018/12/7,114
2018/12/8,104
2018/12/9,110
2018/12/10,121
2018/12/11,93
2018/12/15,71
2018/12/16,82
2018/12/17,105
2018/12/18,55
2018/12/19,101
2018/12/20,138
2018/12/21,138
2018/12/22,151
2018/12/23,171
2018/12/24,146
2018/12/25,143
2018/12/26,151
2018/12/27,156
2018/12/28,140
2018/12/29,148
2018/12/30,157
2018/7/1,130
2018/7/2,116
2018/7/3,98
2018/7/4,89
2018/7/5,108
2018/7/6,106
2018/7/7,102
2018/7/8,97
2018/7/9,130
2018/7/10,117
2018/7/11,89
2018/7/12,57
2018/7/13,51
2018/7/14,46
2018/7/15,60
2018/7/16,65
2018/7/17,52
2018/7/18,120
2018/7/19,115
2018/7/20,127
2018/7/21,127
2018/7/23,145
2018/7/24,93
2018/7/25,57
2018/7/26,63
2018/7/27,77
2018/7/30,91
2018/7/31,98
2018/8/1,101
2018/8/2,104
2018/8/3,107
2018/8/4,127
2018/8/5,110
2018/8/6,53
2018/8/7,47
2018/8/8,60
2018/8/9,57
2018/8/10,100
2018/8/11,64
2018/8/12,68
2018/8/13,43
2018/8/14,50
2018/8/15,53
2018/8/16,74
2018/8/17,61
2018/8/18,68
2018/8/19,50
2018/8/20,59
2018/8/21,58
2018/8/22,60
2018/8/23,57
2018/8/24,54
2018/8/25,48
2018/8/26,54
2018/8/27,59
2018/8/28,72
2018/8/29,65
2018/8/30,63
2018/8/31,68
2018/9/1,68
2018/9/2,60
2018/9/3,66
2018/9/4,65
2018/9/5,77
2018/9/6,67
2018/9/7,57
2018/9/8,32
2018/9/9,61
2018/9/10,57
2018/9/11,62
2018/9/12,60
2018/9/13,56
2018/9/14,61
2018/9/15,48
2018/9/16,54
2018/9/17,71
2018/9/18,108
2018/9/19,133
2018/9/20,148
2018/9/21,138
2018/9/22,97
2018/9/24,65
2018/9/25,49
2018/9/26,102
2018/9/27,130
2018/9/28,136
2018/9/29,57
2018/9/30,57
2018/4/1,155
2018/4/2,180
2018/4/3,161
2018/4/4,155
2018/4/5,135
2018/4/6,123
2018/4/7,103
2018/4/8,96
2018/4/9,76
2018/4/10,133
2018/4/11,90
2018/4/12,92
2018/4/13,73
2018/4/14,101
2018/4/15,149
2018/4/16,129
2018/4/17,99
2018/4/18,99
2018/4/19,140
2018/4/20,142
2018/4/21,103
2018/4/22,91
2018/4/23,131
2018/4/24,132
2018/4/25,155
2018/4/26,164
2018/4/27,167
2018/4/28,158
2018/4/29,159
2018/4/30,165
2018/5/1,156
2018/5/2,150
2018/5/3,124
2018/5/4,141
2018/5/5,148
2018/5/6,134
2018/5/7,123
2018/5/8,111
2018/5/9,123
2018/5/10,169
2018/5/11,171
2018/5/12,184
2018/5/13,143
2018/5/14,130
2018/5/15,200
2018/5/16,168
2018/5/17,183
2018/5/18,181
2018/5/19,175
2018/5/20,191
2018/5/21,168
2018/5/22,167
2018/5/23,192
2018/5/24,143
2018/5/25,163
2018/5/26,160
2018/5/27,180
2018/5/28,174
2018/5/29,188
2018/5/30,168
2018/5/31,165
2018/6/1,169
2018/6/2,133
2018/6/3,135
2018/6/4,164
2018/6/5,163
2018/6/6,121
2018/6/7,152
2018/6/8,153
2018/6/9,110
2018/6/10,134
2018/6/11,135
2018/6/12,139
2018/6/13,199
2018/6/14,365
2018/6/15,268
2018/6/16,206
2018/6/17,122
2018/6/18,134
2018/6/19,127
2018/6/20,121
2018/6/21,113
2018/6/22,122
2018/6/23,143
2018/6/24,148
2018/6/25,148
2018/6/26,141
2018/6/27,119
2018/6/28,95
2018/6/29,88
2018/6/30,122
2018/1/1,229
2018/1/2,166
2018/1/3,146
2018/1/4,175
2018/1/5,184
2018/1/6,154
2018/1/7,150
2018/1/8,156
2018/1/9,160
2018/1/10,164
2018/1/11,157
2018/1/12,160
2018/1/13,167
2018/1/14,170
2018/1/15,162
2018/1/16,155
2018/1/17,184
2018/1/18,168
2018/1/19,140
2018/1/20,146
2018/1/21,147
2018/1/22,185
2018/1/23,156
2018/1/24,95
