date, pm25, pm10, o3, no2, so2, co
2019/9/1, 82, 80, 10, 34, 13, 11
2019/9/2, 89, 84, 15, 21, 11, 12
2019/9/3, 106, 72, 18, 12, 4, 11
2019/9/4, 94, 88, 14, 12, 14, 9
2019/9/5, 84, 94, 14, 14, 3, 11
2019/9/6, 100, 55, 9, 13, 2, 9
2019/9/7, 94, 49, 10, 15, 2, 7
2019/9/8, 85, 50, 17, 18, 2, 8
2019/9/9, 97, 62, 12, 18, 2, 5
2019/9/10, 96, 59, 6, 16, 2, 5
2019/9/11, 102, 76, 6, 14, 2, 5
2019/9/12, 102, 106, 9, 16, 9, 6
2019/9/13, 90, 64, 7, 29, 5, 9
2019/9/14, 88, 44, 6, 61, 20, 5
2019/9/15, 65, 57, 8, 5, 3, 6
2019/9/16, 70, 50, 12, 1, 5, 8
2019/9/17, 83, 51, 15, , 3, 7
2019/9/18, 99, 35, 13, 4, 4, 7
2019/9/19, 76, 36, 16, 6, 6, 8
2019/9/20, 74, 58, 8, 8, 8, 7
2019/9/21, 79, 63, 1, 9, 4, 10
2019/9/22, 85, 49, 11, 9, 4, 8
2019/9/23, 77, 56, 11, 7, 4, 13
2019/9/24, 84, 57, 16, 9, 4, 11
2019/9/25, 112, 79, 11, 8, 7, 11
2019/9/26, 117, 35, 16, 6, 7, 7
2019/9/27, 77, 52, 9, 4, 5, 8
2019/9/28, 75, 18, 7, 5, 3, 4
2019/9/29, 42, 42, 14, 7, 4, 6
2019/9/30, 84, 45, 22, 8, 5, 7
2019/10/1, 87, 56, 17, 9, 4, 13
2019/10/2, 110, 53, 26, 14, 9, 8
2019/10/3, 105, 43, 16, 16, 6, 6
2019/10/4, 90, 52, 24, 18, 6, 6
2019/10/5, 102, 57, 21, 20, 9, 5
2019/10/6, 113, 55, 27, 17, 9, 4
2019/10/7, 108, 50, 18, 18, 5, 5
2019/10/8, 97, 57, 20, 14, 11, 5
2019/10/9, 114, 44, 11, 7, 11, 5
2019/10/10, 89, 65, 16, 7, 6, 7
2019/10/11, 130, 69, 18, 9, 5, 7
2019/10/12, 141, 78, 22, 10, 6, 8
2019/10/13, 150, 88, 13, 7, 4, 10
2019/10/14, 161, 85, 13, 8, 4, 7
2019/10/15, 159, 88, 11, 7, 5, 8
2019/10/16, 164, 94, 18, 6, 4, 6
2019/10/17, 161, 109, 16, 6, 7, 6
2019/10/18, 169, 72, 24, 7, 9, 5
2019/10/19, 138, 91, 26, 10, 7, 6
2019/10/20, 160, 101, 24, 7, 6, 7
2019/10/21, 168, 82, 27, 7, 6, 7
2019/10/22, 157, 93, 22, 8, 9, 8
2019/10/23, 163, 96, 18, 6, 6, 11
2019/10/24, 160, 86, 16, 5, 5, 10
2019/10/25, 149, 101, 19, 3, 4, 7
2019/10/26, 169, 136, 20, 5, 9, 7
2019/10/27, 190, 305, 20, 17, 11, 11
2019/10/28, 288, 116, 17, 15, 4, 11
2019/10/29, 178, 172, 19, 27, 5, 11
2019/10/30, 211, 137, 19, 11, 6, 12
2019/10/31, 193, 133, 16, 8, 7, 12
2019/11/1, 190, 148, 15, 7, 9, 19
2019/11/2, 204, 216, 23, 7, 5, 10
2019/11/3, 239, 155, 23, 11, 5, 11
2019/11/4, 206, 131, 20, 16, 8, 12
2019/11/5, 192, 126, 17, 4, 5, 8
2019/11/6, 189, 79, 14, 4, 1, 8
2019/11/7, 129, 56, 17, 7, 6, 10
2019/11/8, 110, 61, 19, 8, 3, 10
2019/11/9, 123, 98, 28, 6, 5, 10
2019/11/10, 167, 109, 19, 11, 5, 11
2019/11/11, 171, 114, 15, 9, 3, 12
2019/11/12, 177, 125, 7, 17, 4, 13
2019/11/13, 184, 105, 5, 34, 6, 12
2019/11/14, 171, 119, 13, 35, 11, 8
2019/11/15, 176, 89, 11, 20, 5, 9
2019/11/16, 161, 70, 17, 21, 2, 9
2019/11/17, 136, 88, 25, 16, 6, 10
2019/11/18, 152, 103, 18, 26, 4, 8
2019/11/19, 170, 98, 21, 16, 6, 8
2019/11/20, 154, 97, 13, 19, 6, 7
2019/11/21, 164, 106, 6, 16, 18, 7
2019/11/22, 172, 60, 15, 14, 9, 7
2019/11/23, 118, 76, 15, 16, 4, 4
2019/11/24, 145, 106, 13, 9, 4, 4
2019/11/25, 172, 86, 6, 6, 13, 6
2019/11/26, 150, 65, 6, 6, 3, 7
2019/11/27, 133, 55, 7, 6, 3, 5
2019/11/28, 102, 55, 8, 6, 4, 6
2019/11/29, 109, 64, 8, 8, 3, 8
2019/11/30, 132, 86, 12, 9, 12, 4
2018/11/30, 159, 76, 1, 9, , 7
2018/11/29, , 94, 1, 9, 4, 7
