date, pm25, pm10, o3, no2, so2, co
2019/9/1, 115, 47, 12, 4, 4, 5
2019/9/2, 89, 57, 22, 4, 10, 13
2019/9/3, 108, 107, 21, 4, 3, 7
2019/9/4, 114, 33, 11, 4, 2, 6
2019/9/5, 68, 47, 8, 4, 3, 8
2019/9/6, 93, 51, 10, 4, 3, 9
2019/9/7, 96, 50, 10, 5, 2, 7
2019/9/8, 85, 61, 12, 7, 3, 10
2019/9/9, 108, 60, 10, 5, 4, 8
2019/9/10, 110, 62, 10, 5, 4, 3
2019/9/11, 115, 60, 11, 4, 4, 7
2019/9/12, 113, 53, 15, 5, 6, 10
2019/9/13, 102, 58, 13, 6, 8, 14
2019/9/14, 123, 57, 14, 4, 3, 6
2019/9/15, 118, 51, 15, 9, 6, 4
2019/9/16, 95, 54, 20, 5, 7, 
2019/9/17, 102, 60, 17, 5, 6, 2
2019/9/18, 119, 47, 13, 5, 7, 12
2019/9/19, 92, 47, 14, 5, 10, 11
2019/9/20, 84, 51, 15, 5, 22, 13
2019/9/21, 98, 61, 25, 5, 20, 6
2019/9/22, 126, 48, 22, 5, 3, 5
2019/9/23, 88, 49, 18, 4, 5, 6
2019/9/24, 87, 64, 18, 5, 10, 10
2019/9/25, 145, 71, 11, 5, 5, 8
2019/9/26, 158, 52, 9, 4, 6, 7
2019/9/27, 98, 45, 7, 4, 4, 6
2019/9/28, 70, 38, 11, 4, 5, 5
2019/9/29, 49, 42, 8, 4, 8, 5
2019/9/30, 55, 45, 12, 4, 10, 5
2019/10/1, 59, 55, 17, 4, 24, 7
2019/10/2, 84, 57, 14, 4, 5, 5
2019/10/3, 85, 46, 8, 4, 3, 1
2019/10/4, 75, 44, 14, 4, 2, 3
2019/10/5, 88, 70, 15, 5, 2, 2
2019/10/6, 149, 59, 16, 5, 1, 3
2019/10/7, 99, 58, 25, 5, , 2
2019/10/8, 125, 57, 20, 5, 2, 3
2019/10/9, 120, 53, 32, 5, , 2
2019/10/10, 102, 79, , 5, 3, 3
2019/10/11, 151, 90, , 5, 1, 2
2019/10/12, 158, 91, , 5, 2, 2
2019/10/13, 168, 91, , 5, 2, 4
2019/10/14, 150, 74, , 5, 3, 4
2019/10/15, 129, 67, , 5, 5, 3
2019/10/16, 145, 63, , 5, 8, 4
2019/10/17, 142, 57, 9, 5, 5, 3
2019/10/18, 100, 44, 11, 5, 4, 5
2019/10/19, 72, 76, 16, 5, 3, 4
2019/10/20, 119, 91, 15, 5, 3, 4
2019/10/21, 147, 113, 14, 6, 6, 5
2019/10/22, 160, 108, 15, 8, 7, 4
2019/10/23, 159, 89, 18, 5, 7, 3
2019/10/24, 165, 90, 13, 6, 7, 8
2019/10/25, 168, 103, 16, 3, 8, 7
2019/10/26, 178, 128, 15, 4, 8, 7
2019/10/27, 185, 216, 15, 9, 16, 4
2019/10/28, 286, 117, 15, 4, 5, 4
2019/10/29, 178, 145, 14, 4, 7, 7
2019/10/30, 190, 137, 13, 4, 5, 2
2019/10/31, 201, 140, 12, 4, 9, 3
2019/11/1, 208, 113, 7, 4, 5, 4
2019/11/2, 180, 179, 11, 5, 4, 3
2019/11/3, 210, 125, 6, 4, 6, 6
2019/11/4, 176, 116, 12, 14, 5, 4
2019/11/5, 167, 133, 13, 4, 5, 4
2019/11/6, 195, 55, 7, 4, 4, 5
2019/11/7, 88, 49, 9, 4, 5, 7
2019/11/8, 75, 63, 9, 4, 4, 7
2019/11/9, 114, 94, 14, 4, 5, 3
2019/11/10, 161, 102, 16, 4, 5, 7
2019/11/11, 165, 198, 13, 4, 6, 7
2019/11/12, 225, 209, 10, 4, 8, 4
2019/11/13, 242, 153, 5, 4, 10, 5
2019/11/14, 204, 113, 5, 4, 15, 5
2019/11/15, 175, 104, 7, 4, 6, 3
2019/11/16, 155, 75, 10, 4, 4, 6
2019/11/17, 99, 117, 11, 4, 5, 5
2019/11/18, 176, 157, 10, 4, 6, 5
2019/11/19, 192, 150, 8, 4, 6, 4
2019/11/20, 167, 112, 6, 4, 9, 5
2019/11/21, 182, 83, 4, 4, 7, 5
2019/11/22, 145, 51, 10, 4, 4, 6
2019/11/23, 76, 66, 12, 4, 5, 6
2019/11/24, 96, 99, 13, 4, 5, 4
2019/11/25, 109, 63, 7, 4, 8, 4
2019/11/26, 91, 40, 6, 4, 7, 5
2019/11/27, 94, 34, 7, 4, 6, 5
2019/11/28, 79, 45, 10, 4, 6, 6
2019/11/29, 81, 56, 11, 4, 4, 5
2019/11/30, 113, 72, 15, 4, 4, 6
2018/11/30, 132, 90, 8, 16, , 
2018/11/29, , 80, 13, 12, , 
