date, pm25
2016/11/10,306
2016/11/11,323
2016/11/12,285
2016/11/13,232
2016/11/14,221
2016/11/15,253
2016/11/16,299
2016/11/17,264
2016/11/18,247
2016/11/19,253
2016/11/20,262
2016/11/21,254
2016/11/22,184
2016/11/23,198
2016/11/24,244
2016/11/25,178
2016/11/26,161
2016/11/27,169
2016/11/28,157
2016/11/29,218
2016/11/30,298
2015/11/1,271
2015/11/2,224
2015/11/3,257
2015/11/4,315
2015/11/5,214
2015/11/6,215
2015/11/7,413
2015/11/8,298
2015/11/9,231
2015/11/10,305
2015/11/11,258
2015/11/12,319
2015/11/13,390
2015/11/14,317
2015/11/15,265
2015/11/16,217
2015/11/17,196
2015/11/18,230
2015/11/19,254
2015/11/20,316
2015/11/21,325
2015/11/22,307
2015/11/23,328
2015/11/24,326
2015/11/25,223
2015/11/26,212
2015/11/27,243
2015/11/28,300
2015/11/29,339
2015/11/30,385
