date, pm25, pm10, o3, no2, so2, co
2019/11/10, 160, 123, 16, 8, 2, 
2019/11/11, 180, 151, 16, 7, 2, 
2019/11/12, 187, 137, 9, 7, 2, 
2019/11/13, 181, 149, 10, 7, 2, 
2019/11/14, 183, 117, 5, 7, 2, 
2019/11/15, 165, 121, 3, 5, 2, 
2019/11/16, 133, 73, 3, 10, 1, 
2019/11/17, 102, 89, 3, 10, 2, 
2019/11/18, 130, 115, 9, 10, 2, 
2019/11/19, 166, 98, 4, 12, 3, 1
2019/11/20, 167, 106, 9, 19, 3, 3
2019/11/21, 171, 77, 10, 19, 2, 
2019/11/22, 155, 57, 15, 18, 2, 
2019/11/23, 116, 59, 14, 21, 2, 
2019/11/24, 122, 70, 14, 22, 2, 
2019/11/25, 133, 77, 5, 25, 5, 
2019/11/26, 137, 55, 8, 26, 3, 
2019/11/27, 98, 44, 7, 23, 2, 
2019/11/28, 98, 44, 6, 21, 2, 
2019/11/29, 83, 40, 10, 17, 1, 
2019/11/30, 83, 58, 6, 16, 2, 
2018/11/1, 154, 68, 9, 5, 8, 6
2018/11/2, 119, 41, 8, 5, 7, 5
2018/11/3, 58, 131, 6, 5, 7, 4
2018/11/4, 143, 52, 12, 5, 4, 4
2018/11/5, 133, 68, 14, 5, 3, 4
2018/11/6, 141, 84, 14, 7, 5, 9
2018/11/7, 158, 199, 5, 10, 10, 
2018/11/8, 161, 129, 5, 5, 5, 
2018/11/9, 129, 107, 4, 5, 5, 
2018/11/10, 129, 84, 5, 5, 5, 
2018/11/11, 129, 91, 10, 5, 6, 500
2018/11/12, 129, 86, 4, 5, , 269
2018/11/13, 130, 66, 4, 4, , 
2018/11/14, 133, 39, 8, 4, , 
2018/11/15, 112, , 3, 4, , 
2018/11/16, 85, 79, 6, 5, , 
2018/11/17, 123, 101, 6, 4, , 
2018/11/18, 141, 87, 9, 4, , 
2018/11/19, 132, 76, 13, 4, , 
2018/11/20, 116, 69, 11, 5, , 
2018/11/21, 107, 91, 9, 5, , 
2018/11/22, 125, 78, 11, 5, , 
2018/11/23, 114, 63, 11, 5, , 
2018/11/24, 84, 102, 3, 7, , 
2018/11/25, 147, 104, 9, 4, , 
2018/11/26, 125, 110, 5, 4, , 
2018/11/27, 120, 101, 7, 5, , 
2018/11/28, 126, 74, 11, 4, 1, 3
2018/11/29, 109, 75, 10, 5, , 
2018/11/30, 105, 73, 8, 5, 3, 5
