date, pm25, pm10, o3, no2, so2, co
2019/11/8, 233, 162, 6, 19, 6, 11
2019/11/9, 229, 180, 12, 21, 9, 12
2019/11/10, 246, 316, 14, 24, 10, 16
2019/11/11, 342, 534, 14, 24, 9, 18
2019/11/12, 509, 439, 12, 28, 10, 22
2019/11/13, 436, 511, 9, 30, 9, 24
2019/11/14, 446, 455, 8, 28, 8, 22
2019/11/15, 420, 236, 6, 17, 6, 13
2019/11/16, 265, 135, 5, 15, 5, 10
2019/11/17, 178, 155, 7, 18, 6, 15
2019/11/18, 209, 202, 7, 18, 6, 20
2019/11/19, 223, 338, 10, 15, 8, 23
2019/11/20, 296, 320, 10, 14, 9, 27
2019/11/21, 281, 294, 6, 14, 7, 25
2019/11/22, 281, 176, 6, 13, 5, 17
2019/11/23, 211, 139, 3, 10, 6, 16
2019/11/24, 172, 170, 4, 11, 6, 18
2019/11/25, 203, 233, 20, 12, 6, 20
2019/11/26, 204, 119, 6, 13, 4, 15
2019/11/27, 150, 80, 4, 16, 4, 13
2019/11/28, 116, 99, 6, 15, 5, 15
2019/11/29, 141, 150, 6, 18, 5, 17
2019/11/30, 194, 154, 13, 23, 5, 16
2018/11/1, 388, 418, 24, 17, 12, 21
2018/11/2, 331, 324, 14, 18, 10, 20
2018/11/3, 259, 150, 26, 17, 11, 10
2018/11/4, 196, 500, 15, 16, 12, 18
2018/11/5, 464, 266, 23, 15, 11, 13
2018/11/6, 277, 320, 35, 11, 16, 14
2018/11/7, 320, 545, 22, 9, 22, 25
2018/11/8, 545, 512, 33, 9, 14, 26
2018/11/9, 423, 555, 17, 10, 14, 31
2018/11/10, 428, 520, 35, 9, 14, 27
2018/11/11, 404, 531, 33, 9, 13, 27
2018/11/12, 404, 517, 10, 7, 14, 32
2018/11/13, 393, 244, 14, 9, 11, 22
2018/11/14, 257, 145, 11, 16, 11, 16
2018/11/15, 195, 193, 16, 13, 12, 12
2018/11/16, 243, 221, 19, 11, 13, 13
2018/11/17, 247, 370, 23, 8, 13, 20
2018/11/18, 306, 332, 25, 7, 12, 17
2018/11/19, 290, 375, 24, 7, 11, 20
2018/11/20, 332, 321, 20, 21, 12, 17
2018/11/21, 313, 350, 21, 20, 15, 19
2018/11/22, 271, 321, 18, 18, 13, 22
2018/11/23, 295, 187, 15, 21, 14, 14
2018/11/24, 200, 224, 20, 20, 14, 14
2018/11/25, 235, 408, 21, 20, 15, 21
2018/11/26, 330, 487, 8, 15, 13, 38
2018/11/27, 331, 357, 13, 12, 12, 24
2018/11/28, 299, 394, 9, 7, 12, 24
2018/11/29, 342, 300, 14, 4, 12, 17
2018/11/30, 299, 274, 17, 2, 13, 16
