date, pm25, pm10, o3, no2, so2, co
2019/9/1, 174, 72, 43, 20, 10, 15
2019/9/9, 174, 104, 46, 23, 3, 17
2018/9/1, 128, 66, 27, 6, 8, 10
2018/9/2, 115, 64, 52, 7, 11, 11
2018/9/3, 128, 67, 11, 6, 11, 10
2018/9/4, 144, 72, 14, 5, 9, 8
2018/9/5, 117, 89, 22, 5, 8, 7
2018/9/6, 120, 65, 22, 8, 8, 11
2018/9/7, 123, 64, 13, 5, 8, 7
2018/9/8, 122, 42, 11, 3, 12, 5
2018/9/9, 94, 55, 19, 3, 15, 6
2018/9/10, 105, 64, 17, 4, 11, 6
2018/9/11, 95, 90, 12, 4, 8, 6
2018/9/12, 93, 103, 13, 3, 8, 5
2018/9/13, 99, 88, 17, 4, 12, 7
2018/9/14, 103, 89, 19, 6, 15, 10
2018/9/15, 118, 92, 15, 9, 12, 5
2018/9/16, 121, 115, 28, 3, 8, 6
2018/9/17, 143, 129, 33, 5, 8, 7
2018/9/18, 144, 130, 38, 8, 9, 8
2018/9/19, 149, 136, 56, 20, 16, 12
2018/9/20, 163, 77, 17, 13, 9, 6
2018/9/21, 118, 44, 12, 13, 11, 6
2018/9/22, 80, 51, 14, 10, 10, 6
2018/9/23, 100, 33, 9, 35, 10, 6
2018/9/24, 74, 42, 14, 18, 8, 7
2018/9/25, 87, 78, 29, 24, 12, 6
2018/9/26, 116, 119, 37, 26, 15, 17
2018/9/27, 162, 128, 32, 28, 12, 24
2018/9/28, 164, 136, 32, 34, 7, 19
2018/9/29, 157, 103, 40, 29, 15, 12
2018/9/30, 150, 136, 41, 35, 16, 17
2017/9/1, 77, 41, , , , 
2017/9/2, 82, 53, 33, 14, 8, 
2017/9/3, 100, 69, 26, 14, 8, 2
2017/9/4, 120, 55, 34, 14, 8, 6
2017/9/5, 98, 48, 4, 21, 7, 5
2017/9/6, 83, , , , , 
2017/9/9, 154, 91, 56, 21, 9, 14
2017/9/10, 154, 103, 63, 26, 9, 12
2017/9/11, 164, 85, 51, 22, 10, 10
2017/9/12, 148, 98, 63, 25, 10, 13
2017/9/13, 161, 117, 87, 31, 10, 16
2017/9/14, 203, 105, 59, 26, 11, 12
2017/9/15, 174, 109, 37, 32, 12, 12
2017/9/16, 175, 86, 52, 20, 10, 8
2017/9/17, 161, 96, 67, 26, 10, 6
2017/9/18, 164, 112, 67, 37, 18, 15
2017/9/19, 181, 129, 60, 34, 16, 23
2017/9/20, 196, 82, 17, 21, 11, 13
2017/9/21, 152, 33, 7, 16, 11, 8
2017/9/22, 87, 30, 5, 14, 9, 6
2017/9/23, 79, 66, 20, 16, 8, 9
2017/9/24, 134, 101, 28, 25, 9, 19
2017/9/25, 163, 124, 26, 27, 9, 23
2017/9/26, 180, 132, 43, 33, 11, 25
2017/9/27, 185, 123, 37, 36, 9, 12
2017/9/28, 177, 133, 35, 35, 13, 20
2017/9/29, 186, 144, 38, 28, 15, 25
2017/9/30, 190, 142, 29, 28, 14, 22
2016/9/1, 76, 69, 7, 18, 5, 8
2016/9/2, 119, 78, 12, 17, 4, 7
2016/9/3, 124, 84, 7, 14, 5, 5
2016/9/4, 126, 82, 11, 12, 4, 5
2016/9/5, 123, 91, 7, 14, 5, 5
2016/9/6, 130, 99, 10, 17, 7, 7
