date,panipat pm 2.5,sirsa pm 2.5,Bhiwanipm 2.5,rohtak pm 2.5,patiala pm 2.5,ludhiana pm 2.5,kaithal pm 2.5,karnal pm 2.5,jind pm2.5,delhi_wazirpm2.5
2019/7/25,65,94,94,58,44,72,88,62,60,92
2019/7/26,62,101,101,97,39,75,111,60,111,108
2019/7/27,52,122,86,90,29,77,76,29,64,111
2019/7/28,53,100,91,84,20,68,72,35,65,92
2019/7/29,55,84,103,78,24,79,73,53,65,105
2019/7/30,65,122,118,103,26,98,89,80,75,115
2019/7/31,69,125,106,97,24,79,72,63,88,98
2019/8/1,83,124,114,97,47,103,105,88,107,105
2019/8/2,76,112,112,84,39,78,94,89,87,99
2019/8/3,65,140,128,100,37,90,87,78,99,138
2019/8/4,81,156,102,81,39,105,101,88,107,138
2019/8/5,100,134,125,109,56,118,124,121,133,155
2019/8/6,60,100,105,81,46,94,113,74,79,111
2019/8/7,76,140,95,97,36,87,86,91,81,113
2019/8/8,71,131,102,84,41,85,96,94,97,121
2019/8/9,58,121,77,57,26,104,96,82,70,79
2019/8/10,55,66,73,116,31,81,81,68,64,77
2019/8/11,73,81,98,89,37,74,90,83,95,104
2019/8/12,72,135,64,79,58,80,110,87,87,110
2019/8/13,68,82,89,82,35,104,80,92,78,90
2019/8/14,66,147,75,104,37,78,104,70,88,98
2019/8/15,73,145,93,111,54,66,93,74,109,89
2019/8/16,56,111,74,78,36,85,88,69,72,69
2019/8/17,42,92,55,63,26,77,112,47,61,57
2019/8/18,48,43,51,59,18,41,33,59,42,99
2019/8/19,78,117,107,94,32,59,75,118,88,108
2019/8/20,76,175,126,88,52,81,63,85,91,108
2019/8/21,84,102,128,111,62,97,62,111,127,122
2019/8/22,110,105,114,81,62,71,98,140,100,120
2019/8/23,123,115,123,113,64,88,107,148,130,143
2019/8/24,92,128,126,124,68,194,91,117,123,149
2019/8/25,86,159,129,109,53,82,82,98,120,104
2019/8/26,60,124,111,78,46,85,63,80,87,104
2019/8/27,95,122,126,99,60,63,69,118,94,128
2019/8/28,93,145,118,115,58,75,80,121,99,151
2019/8/29,95,159,111,96,62,83,86,123,115,123
2019/8/30,79,145,114,100,60,106,75,103,98,135
2019/8/31,137,158,134,133,68,93,94,100,149,155
2019/9/1,156,152,101,86,60,67,92,63,107,115
2019/9/2,84,131,107,98,52,56,69,86,104,148
2019/9/3,109,138,139,125,80,89,88,129,138,155
2019/9/4,126,129,131,141,58,99,99,136,155,168
2019/9/5,81,174,142,273,42,66,60,89,106,117
2019/9/6,86,100,132,440,66,70,73,78,92,134
2019/9/7,78,161,114,89,63,97,84,71,115,256
2019/9/8,80,157,114,68,56,119,81,68,106,95
2019/9/9,110,187,156,102,73,98,110,104,139,144
2019/9/10,137,180,157,98,71,121,130,152,151,153
2019/9/11,167,172,163,136,83,124,127,172,155,168
2019/9/12,157,172,159,127,78,136,135,169,151,162
2019/9/13,131,197,124,114,67,99,82,132,121,118
2019/9/14,126,178,129,92,90,120,80,116,132,100
2019/9/15,104,146,105,73,71,100,59,79,104,111
2019/9/16,157,170,143,90,94,96,93,135,140,151
2019/9/17,163,154,149,100,120,111,93,154,144,154
2019/9/18,130,140,131,92,95,112,89,122,126,130
2019/9/19,75,131,98,66,63,82,60,78,100,106
2019/9/20,109,128,111,85,63,109,72,100,98,105
2019/9/21,153,134,116,92,78,99,85,134,118,122
2019/9/22,102,128,94,70,75,113,75,85,88,134
2019/9/23,90,102,100,84,58,108,66,74,81,169
2019/9/24,136,111,102,80,77,133,83,123,95,145
2019/9/25,117,117,114,84,84,133,78,121,102,124
2019/9/26,81,103,90,77,82,113,71,91,79,115
2019/9/27,70,117,87,56,64,78,62,81,62,79
2019/9/28,88,93,93,69,59,91,50,70,68,105
2019/9/29,60,96,79,63,31,66,47,40,64,83
2019/9/30,71,97,95,80,49,77,65,71,79,149
2019/6/15,145,178,166,170,145,134,146,197,149,163
2019/6/16,148,218,146,137,102,98,104,167,122,114
2019/6/17,125,137,113,113,115,121,123,140,119,118
2019/6/18,79,111,113,97,81,109,104,156,96,83
2019/6/19,143,147,162,156,153,146,159,228,157,155
2019/6/20,124,153,152,133,133,140,143,165,123,106
2019/6/21,129,132,155,162,117,102,137,172,140,155
2019/6/22,123,174,149,134,131,104,143,164,148,156
2019/6/23,103,164,156,138,84,120,137,118,143,121
2019/6/24,69,155,116,82,62,81,86,70,81,82
2019/6/25,94,237,133,107,53,72,99,118,100,148
2019/6/26,122,112,145,128,63,99,143,166,142,151
2019/6/27,134,138,188,171,70,121,140,175,143,146
2019/6/28,130,132,170,155,93,123,146,178,147,141
2019/6/29,154,166,190,174,148,147,164,183,167,141
2019/6/30,146,162,172,167,121,144,148,188,153,140
