date,H_pm25,H_pm10,H_o3,H_no2,H_so2,H_co,D_pm10,D_o3,D_no2,D_so2,D_co,D_pm25,,,,,,,,
2016-09-01,85,42,9,6,3,4,69,7,18,5,8,76,,,,,,,,
2016-09-02,120,42,9,7,3,5,78,12,17,4,7,119,,,,,,,,
2016-09-03,142,42,8,5,2,6,84,7,14,5,5,124,,,,,,,,
2016-09-04,133,42,9,5,2,7,82,11,12,4,5,126,,,,,,,,
2016-09-05,137,42,14,6,4,5,91,7,14,5,5,123,,,,,,,,
2016-09-06,138,42,15,7,7,2,99,10,17,7,7,130,,,,,,,,
2016-09-07,164,42,9,7,6,4,98,11,16,9,3,141,,,,,,,,
2016-09-08,260,42,13,7,6,2,98,12,17,8,4,142,,,,,,,,
2016-09-09,118,42,9,7,3,1,81,12,15,8,7,139,,,,,,,,
2016-09-10,111,42,38,7,3,1,71,12,16,8,7,120,,,,,,,,
2016-09-11,98,42,26,8,4,3,87,11,18,7,8,111,,,,,,,,
2016-09-12,108,42,10,10,5,4,87,15,22,8,10,134,,,,,,,,
2016-09-13,148,42,9,6,6,12,68,19,21,9,13,145,,,,,,,,
2016-09-14,109,42,8,11,4,7,99,25,29,7,13,128,,,,,,,,
2016-09-15,165,42,12,12,4,7,91,24,30,9,10,158,,,,,,,,
2016-09-16,163,42,13,11,4,6,110,25,35,9,14,151,,,,,,,,
2016-09-17,175,42,12,8,4,6,109,26,29,8,13,165,,,,,,,,
2016-09-18,168,42,13,8,4,9,105,27,32,10,15,166,,,,,,,,
2016-09-19,158,42,14,9,4,5,121,45,36,7,23,157,,,,,,,,
2016-09-20,171,42,11,6,4,8,112,14,30,6,20,173,,,,,,,,
2016-09-21,159,42,9,4,3,3,59,12,18,7,11,163,,,,,,,,
2016-09-22,101,42,9,6,4,2,65,31,20,8,14,105,,,,,,,,
2016-09-23,116,42,10,6,4,4,101,20,28,7,15,114,,,,,,,,
2016-09-24,129,42,10,6,4,3,86,32,24,8,18,154,,,,,,,,
2016-09-25,127,42,10,7,4,3,112,27,34,8,24,139,,,,,,,,
2016-09-26,152,42,12,7,4,4,84,34,25,8,14,159,,,,,,,,
2016-09-27,147,42,14,9,4,5,126,52,39,7,20,140,,,,,,,,
2016-09-28,176,42,11,6,4,8,129,30,31,9,15,170,,,,,,,,
2016-09-29,163,42,15,9,4,11,100,44,32,9,14,176,,,,,,,,
2016-09-30,160,42,10,7,4,9,148,22,32,10,25,152,,,,,,,,
2016-10-01,156,42,23,7,4,9,119,17,27,10,21,186,,,,,,,,
2016-10-02,136,42,55,10,4,10,119,13,32,8,27,164,,,,,,,,
2016-10-03,162,42,8,7,5,8,159,26,38,8,16,167,,,,,,,,
