date, pm25, pm10, o3, no2, so2, co
2019/9/1, 161, 60, 9, 8, 4, 14
2019/9/2, 115, 87, 8, 8, 4, 16
2019/9/3, 153, 83, 9, 9, 5, 19
2019/9/4, 160, 69, 7, 10, 7, 15
2019/9/5, 127, 87, 7, 11, 8, 17
2019/9/6, 121, 78, 7, 12, 8, 16
2019/9/7, 140, 84, 7, 8, 9, 14
2019/9/8, 116, 132, 7, 6, 9, 16
2019/9/9, 157, 96, 7, 4, 10, 18
2019/9/10, 160, 105, 10, 22, 8, 18
2019/9/11, 159, 91, 13, 39, 4, 11
2019/9/12, 152, 51, 3, 20, 3, 8
2019/9/13, 97, 62, 1, 22, 4, 9
2019/9/14, 99, , , , , 
2019/9/20, 90, 72, 7, 12, 5, 8
2019/9/21, 124, 55, 6, 11, 5, 8
2019/9/22, 91, 34, 5, 11, 6, 6
2019/9/23, 57, 68, 11, 9, 9, 4
2019/9/24, 80, 71, 9, 6, 10, 7
2019/9/25, 92, 78, 7, 4, 11, 6
2019/9/26, 67, 58, 8, 4, 12, 5
2019/9/27, 51, 78, 8, 3, 13, 5
2019/9/28, 68, 34, 8, 3, 13, 5
2019/9/29, 47, 60, 25, 6, 8, 6
2019/9/30, 68, 85, 8, 3, 11, 8
2019/9/19, , 59, 6, 11, 5, 7
2019/10/1, 98, 91, 6, 3, 12, 8
2019/10/2, 100, 91, 7, 4, 12, 8
2019/10/3, 119, 76, 17, 4, 10, 6
2019/10/4, 50, 51, 16, 3, 7, 6
2019/10/5, 45, 68, 17, 3, 8, 7
2019/10/6, 71, 71, 19, 3, 9, 7
2019/10/7, 50, 65, 9, 3, 9, 5
2019/10/8, 54, , , , , 
2019/10/10, 162, 123, 30, 6, 9, 4
2019/10/11, 145, 145, 30, 5, 11, 6
2019/10/12, 168, 151, 28, 6, 11, 7
2019/10/13, 132, 129, 30, 6, 11, 6
2019/10/14, 91, 193, 34, 7, 14, 9
2019/10/15, 92, 168, 25, 7, 9, 7
2019/10/16, 170, 95, 24, 6, 8, 8
2019/10/17, 166, 80, 22, 6, 8, 7
2019/10/18, 149, 160, 19, 9, 4, 7
2019/10/19, 152, 73, 16, 5, 4, 6
2019/10/20, 94, 99, 13, 6, 8, 9
2019/10/21, 174, 56, 17, 2, 6, 6
2019/10/22, 138, 72, 21, 3, 7, 8
2019/10/23, 154, 76, 22, 3, 7, 11
2019/10/24, 150, 121, 21, 1, 6, 9
2019/10/25, 95, 183, 20, 7, 7, 11
2019/10/26, 134, 139, 11, 5, 7, 10
2019/10/27, 117, 129, 12, 3, 8, 10
2019/10/28, 111, 189, 4, 2, 9, 15
2019/10/29, 122, 177, 5, 1, 9, 16
2019/10/30, 134, 109, 7, 1, 9, 13
2019/10/31, 93, 179, 13, 3, 10, 17
2019/10/9, , 124, 18, 8, 15, 9
2019/11/1, 119, 124, 4, 2, 10, 15
2019/11/2, 91, 197, 2, 2, 11, 26
2019/11/3, 211, 143, 2, 3, 12, 15
2019/11/4, 188, 155, 7, 12, 12, 10
2019/11/5, 178, 119, 9, 12, 14, 8
2019/11/6, 184, 119, 11, 16, 8, 9
2019/11/7, 197, 84, 10, 9, 10, 7
2019/11/8, 167, 85, 8, 11, 9, 7
2019/11/9, 171, 91, 7, 13, 8, 8
2019/11/10, 177, 96, 6, 12, 9, 11
2019/11/11, 185, 136, 5, 8, 9, 15
2019/11/12, 210, 110, 3, 3, 8, 14
2019/11/13, 164, 110, 2, 2, 8, 15
2019/11/14, 167, 107, 2, 2, 9, 17
2019/11/15, 193, 128, 2, 3, 9, 11
2019/11/16, 169, , , , , 
2019/11/18, 146, 93, 9, 9, 11, 8
2019/11/19, 167, 83, 8, 11, 13, 10
2019/11/20, 152, 89, 9, 6, 11, 13
2019/11/21, 151, 117, 9, 10, 13, 14
2019/11/22, 131, 78, 7, 11, 12, 11
2019/11/23, 72, 75, 7, 10, 13, 9
2019/11/24, 57, 127, 8, 6, 11, 5
2019/11/25, 136, 77, 7, 4, 14, 8
2019/11/26, 144, 47, 7, 7, 53, 8
2019/11/27, 88, 39, 7, 6, 80, 7
2019/11/28, 58, 66, 7, 22, 37, 7
2019/11/29, 102, 64, 3, 17, 41, 8
2019/11/30, 125, 64, 2, 16, 89, 9
2019/11/17, , 94, 8, 20, 27, 9
