date, pm25, pm10, o3, no2, so2, co
2016/10/1, 156, , 23, 7, 4, 9
2016/10/2, 136, , 55, 10, 4, 10
2016/10/3, 162, , 8, 7, 5, 8
2016/10/4, 184, , 5, 8, 6, 16
2016/10/5, 181, , , , , 
2016/10/8, 273, , 19, 4, 5, 28
2016/10/9, 189, , 19, 3, 4, 17
2016/10/10, 268, , 8, 1, 4, 6
2016/10/11, 186, , 8, 1, 5, 5
2016/10/12, 186, , 6, 5, 1, 14
2016/10/13, 197, , 4, 3, 3, 9
2016/10/14, 178, , 10, 4, 4, 9
2016/10/15, 203, , 4, 4, 2, 9
2016/10/16, 187, , 6, 4, 1, 11
2016/10/17, 207, , 50, 5, 2, 30
2016/10/18, 198, , 5, 7, 6, 27
2016/10/19, 210, , 9, 9, 2, 13
2016/10/20, 204, , 13, 10, 5, 13
2016/10/21, 206, , 11, 9, 2, 13
2016/10/22, 186, , 1, 11, 2, 13
2016/10/23, 232, , 4, 11, 2, 21
2016/10/24, 278, , 13, 9, 4, 18
2016/10/25, 179, , 16, 11, 7, 18
2016/10/26, 225, , 24, 13, 6, 24
2016/10/27, 328, , 23, 14, 6, 31
2016/10/28, 311, , 22, 15, 8, 18
2016/10/29, 311, , 20, 11, 5, 18
2016/10/30, 305, , 22, 13, 13, 26
2016/10/31, 339, , 26, 14, 6, 29
2017/10/1, , , 12, 7, , 8
2017/10/8, , , 13, 9, 2, 11
2017/10/15, , , 35, 16, 15, 17
2016/10/7, , , 15, 5, 2, 29
2019/11/1, 441, , 29, , 6, 21
2019/11/2, 330, , 38, , 4, 25
2019/11/3, 464, , 54, , 6, 15
2019/11/4, 294, , 56, , 7, 12
2019/11/5, 218, , 39, , 9, 14
2019/11/6, 184, , 25, , 7, 18
2019/11/7, 230, , 64, , 6, 22
2019/11/8, 228, , 47, , 8, 16
2019/11/9, 182, , 61, , 6, 15
2019/11/10, 234, , 59, , 10, 20
2019/11/11, 277, , 64, , 10, 24
2019/11/12, 363, , 32, , 13, 29
2019/11/13, 384, , 42, , 12, 33
2019/11/14, 364, , 34, , 6, 29
2019/11/15, 438, , 49, , 7, 13
2019/11/16, 224, , 33, , 9, 10
2019/11/17, 154, , 34, , 7, 11
2019/11/18, 154, , 47, , 7, 15
2019/11/19, 183, , 34, , 7, 27
2019/11/20, 216, , 92, , 28, 32
2019/11/21, 303, , 71, , 15, 24
2019/11/22, 214, , 32, , 11, 17
2019/11/23, 186, , 48, , 9, 11
2019/11/24, 170, , 54, , 25, 16
2019/11/25, 172, , 46, , 40, 14
2019/11/26, 177, , 41, , 19, 11
2019/11/27, 136, , 19, , 10, 9
2019/11/28, 90, , 28, , 15, 12
2019/11/29, 133, , 30, , 12, 14
2019/11/30, 168, , 43, , 10, 14
2017/11/1, 226, , 15, 7, 5, 15
2017/11/2, 209, , 20, 6, 7, 17
2017/11/3, 230, , 21, 6, 8, 17
2017/11/4, 216, , 15, 5, 7, 25
