date, pm25, pm10, o3, no2, so2, co
2019/9/1, 105, 47, 23, 10, 8, 4
2019/9/2, 107, 65, 22, 6, 8, 4
2019/9/3, 151, 79, 14, 10, 10, 4
2019/9/4, 142, 52, 10, 9, 12, 4
2019/9/5, 107, 47, 9, 9, 16, 3
2019/9/6, 90, 53, 17, 18, 13, 4
2019/9/7, 98, 46, 22, 9, 9, 3
2019/9/8, 98, 70, 22, 9, 3, 4
2019/9/9, 135, 79, 23, 11, 16, 5
2019/9/10, 148, 84, 18, 10, 18, 5
2019/9/11, 158, 76, 10, 13, 19, 4
2019/9/12, 147, 58, 11, 8, 19, 3
2019/9/13, 107, 59, 12, 12, 17, 3
2019/9/14, 99, 49, 16, 7, 18, 3
2019/9/15, 75, 67, 25, 8, 13, 3
2019/9/16, 113, 78, 28, 9, 8, 4
2019/9/17, 139, 75, 24, 12, 10, 3
2019/9/18, 121, 48, 16, 8, 8, 2
2019/9/19, 75, 55, 25, 10, 14, 3
2019/9/20, 84, 64, 28, 12, 19, 3
2019/9/21, 101, 68, 21, 15, 15, 3
2019/9/22, 107, 50, 23, 9, 15, 2
2019/9/23, 71, 67, 24, 11, 11, 4
2019/9/24, 108, 74, 28, 13, 7, 4
2019/9/25, 129, 76, 13, 13, 8, 3
2019/9/26, 121, 50, 20, 13, 10, 3
2019/9/27, 89, 51, 15, 10, 13, 2
2019/9/28, 76, 23, 6, 8, 15, 2
2019/9/29, 42, 48, 9, 11, 9, 3
2019/9/30, 61, 58, 15, 13, 9, 4
2019/10/1, 72, 62, 25, 11, 14, 3
2019/10/2, 95, 75, 27, 12, 5, 4
2019/10/3, 120, 62, 20, 8, 5, 2
2019/10/4, 83, 66, 23, 10, 6, 3
2019/10/5, 106, 75, 28, 10, 6, 3
2019/10/6, 125, 89, 26, 10, 7, 4
2019/10/7, 142, 89, 33, 10, 8, 4
2019/10/8, 145, 92, 38, 17, 4, 5
2019/10/9, 153, 97, 38, 18, 6, 5
2019/10/10, 154, 93, 37, 20, 9, 5
2019/10/11, 154, 100, 36, 17, 6, 5
2019/10/12, 159, 114, 34, 18, 8, 6
2019/10/13, 165, 128, 32, 20, 12, 7
2019/10/14, 174, 125, 41, 20, 7, 6
2019/10/15, 172, 127, 39, 22, 7, 7
2019/10/16, 171, 101, 32, 19, 4, 5
2019/10/17, 163, 98, 32, 15, 8, 4
2019/10/18, 158, 106, 37, 17, 9, 5
2019/10/19, 162, 106, 32, 18, 9, 5
2019/10/20, 159, 116, 39, 19, 10, 5
2019/10/21, 167, 127, 36, 25, 10, 6
2019/10/22, 170, 128, 41, 32, 10, 7
2019/10/23, 180, 130, 44, 28, 13, 7
2019/10/24, 184, 163, 39, 31, 8, 11
2019/10/25, 187, 179, 41, 26, 7, 9
2019/10/26, 215, 191, 37, 26, 7, 10
2019/10/27, 233, 229, 43, 29, 16, 12
2019/10/28, 296, 274, 34, 30, 8, 13
2019/10/29, 262, 189, 33, 24, 8, 9
2019/10/30, 237, 230, 38, 24, 5, 8
2019/10/31, 262, 194, 40, 21, 8, 5
2019/11/1, 225, 289, 28, 23, 9, 14
2019/11/2, 299, 291, 35, 25, 5, 16
2019/11/3, 317, 156, 28, 17, 9, 7
2019/11/4, 210, 136, 35, 17, 5, 6
2019/11/5, 180, 151, 29, 25, 2, 9
2019/11/6, 195, 90, 17, 12, 2, 4
2019/11/7, 146, 75, 27, 12, 2, 4
2019/11/8, 121, 95, 26, 15, 2, 5
2019/11/9, 133, 172, 38, 22, 3, 10
2019/11/10, 216, 180, 36, 24, 3, 10
2019/11/11, 212, 178, 36, 19, 3, 8
2019/11/12, 219, 148, 23, 20, 5, 9
2019/11/13, 199, 155, 24, 23, 8, 11
2019/11/14, 184, 116, 23, 14, 3, 6
2019/11/15, 176, 96, 22, 9, 6, 3
2019/11/16, 140, 64, 24, 10, 9, 3
2019/11/17, 108, 108, 35, 16, 10, 8
2019/11/18, 160, 190, 38, 25, 15, 11
2019/11/19, 216, 138, 30, 30, 6, 11
2019/11/20, 175, 124, 33, 26, 5, 7
2019/11/21, 173, 113, 21, 20, 5, 6
2019/11/22, 171, 84, 19, 11, 5, 4
2019/11/23, 147, 78, 24, 13, 6, 4
2019/11/24, 140, 99, 30, 20, 6, 7
2019/11/25, 139, 80, 12, 16, 12, 5
2019/11/26, 131, 50, 14, 13, 9, 3
2019/11/27, 83, 56, 18, 12, 4, 5
2019/11/28, 90, 75, 20, 12, 9, 5
2019/11/29, 132, 83, 19, 9, 8, 5
2019/11/30, 146, 109, 33, 9, 9, 6
