date, pm25, pm10, o3, no2, so2, co
2020/1/25, 182, 109, 9, 10, 1, 8
2020/1/26, 179, 90, 1, 13, 2, 7
2020/1/27, 167, 87, 7, 11, 7, 10
2020/1/28, 134, 59, 9, 10, 1, 4
2020/1/29, 105, 70, 8, 8, 2, 4
2020/1/30, 123, 87, 6, 9, 1, 6
2020/1/31, 146, 92, 5, 8, 3, 6
2019/10/1, 99, 67, 14, 3, 3, 5
2019/10/2, 133, 104, 19, 4, 2, 7
2019/10/3, 167, 110, 16, 9, 3, 6
2019/10/4, 167, 75, 18, 1, 4, 4
2019/10/5, 135, 90, 21, , 3, 5
2019/10/6, 157, 93, 16, 1, 2, 5
2019/10/7, 162, 79, 23, 1, 3, 4
2019/10/8, 145, 125, 24, 1, 6, 7
2019/10/9, 165, 116, 28, 2, 5, 7
2019/10/10, 180, 115, 25, 1, 8, 6
2019/10/11, 176, 140, 25, 1, 6, 7
2019/10/12, 189, 138, 27, 1, 6, 7
2019/10/13, 196, 149, 22, 2, 5, 8
2019/10/14, 202, 170, 28, 2, 7, 9
2019/10/15, 226, 143, 23, 1, 5, 7
2019/10/16, 195, 118, 19, 13, 3, 5
2019/10/17, 176, 122, 19, 12, 3, 5
2019/10/18, 176, 138, 23, 9, 7, 6
2019/10/19, 202, 125, 22, 6, 5, 5
2019/10/20, 186, 117, 23, 6, 6, 5
2019/10/21, 179, 119, 25, 6, 6, 5
2019/10/22, 182, 135, 26, 8, 11, 7
2019/10/23, 183, 151, 25, 7, 8, 9
2019/10/24, 199, 146, 22, 5, 4, 7
2019/10/25, 172, 170, 24, 6, 11, 10
2019/10/26, 183, 216, 29, 5, 10, 8
2019/10/27, 216, 238, 29, 5, 16, 9
2019/10/28, 196, 273, 23, 7, 9, 13
2019/10/29, 215, 349, 21, 6, 10, 15
2019/10/30, 288, 316, 25, 6, 13, 12
2019/10/31, 283, 322, 26, 5, 13, 13
2019/11/1, 305, 334, 20, 6, 13, 14
2019/11/2, 307, 537, 17, 8, 9, 24
2019/11/3, 510, 305, 18, 7, 11, 13
2019/11/4, 300, 250, 20, 7, 10, 11
2019/11/5, 237, 395, 16, 13, 13, 14
2019/11/6, 336, 124, 6, 10, 8, 6
2019/11/7, 168, 99, 10, 9, 8, 6
2019/11/8, 139, 116, 24, 7, 7, 6
2019/11/9, 158, 244, 25, 9, 11, 10
2019/11/10, 243, 302, 23, 13, 13, 13
2019/11/11, 261, 259, 27, 12, 13, 10
2019/11/12, 255, 229, 18, 13, 13, 11
2019/11/13, 221, 205, 19, 16, 10, 12
2019/11/14, 209, 174, 17, 13, 9, 10
2019/11/15, 202, 169, 15, 8, 10, 4
2019/11/16, 168, 91, 17, 5, 6, 3
2019/11/17, 123, 98, 17, 8, 5, 7
2019/11/18, 148, 157, 19, 12, 7, 12
